iter	Passed	Remaining
641	26844	14969
642	26882	14925
643	26922	14882
644	26963	14840
645	26999	14795
646	27039	14752
647	27078	14709
648	27121	14668
649	27160	14624
650	27236	14601
651	27318	14581
652	27363	14540
653	27420	14506
654	27467	14467
655	27506	14424
656	27546	14381
657	27587	14338
658	27625	14294
659	27663	14250
660	27716	14214
661	27754	14170
662	27791	14126
663	27835	14085
664	27885	14047
665	27936	14010
666	27977	13967
667	28020	13926
668	28064	13885
669	28105	13842
670	28141	13798
671	28179	13754
672	28226	13715
673	28265	13671
674	28311	13631
675	28350	13588
676	28388	13544
677	28428	13501
678	28467	13458
679	28505	13414
680	28543	13370
681	28586	13329
682	28622	13284
683	28664	13242
684	28710	13202
685	28753	13161
686	28791	13117
687	28832	13075
688	28875	13033
689	28921	12993
690	28963	12951
691	29006	12910
692	29048	12868
693	29090	12826
694	29133	12785
695	29176	12743
696	29218	12702
697	29258	12658
698	29297	12616
699	29339	12574
700	29379	12531
701	29421	12489
702	29487	12457
703	29577	12436
704	29628	12397
705	29666	12353
706	29704	12310
707	29743	12266
708	29783	12224
709	29824	12181
710	29873	12142
711	29910	12098
712	29952	12056
713	29991	12013
714	30028	11969
715	30064	11925
716	30104	11882
717	30148	11841
718	30194	11800
719	30231	11756
720	30269	11713
721	30310	11670
722	30350	11628
723	30390	11585
724	30429	11542
725	30475	11501
726	30516	11459
727	30564	11419
728	30604	11377
729	30644	11334
730	30683	11291
731	30722	11248
732	30759	11204
733	30797	11161
734	30838	11118
735	30884	11078
736	30928	11036
737	30967	10993
738	31005	10950
739	31041	10906
740	31079	10863
741	31118	10820
742	31160	10778
743	31199	10735
744	31240	10693
745	31280	10650
746	31324	10609
747	31364	10566
748	31399	10522
749	31437	10479
750	31482	10438
751	31519	10394
752	31559	10352
753	31597	10309
754	31637	10266
755	31677	10223
756	31718	10181
757	31756	10138
758	31799	10096
759	31838	10054
760	31882	10012
761	31916	9968
762	31954	9925
763	31994	9883
764	32044	9843
765	32137	9817
766	32191	9779
767	32231	9736
768	32271	9693
769	32318	9653
770	32362	9612
771	32401	9569
772	32439	9526
773	32480	9483
774	32520	9441
775	32559	9398
776	32616	9360
777	32682	9325
778	32719	9282
779	32757	9239
780	32799	9197
781	32840	9155
782	32882	9112
783	32929	9072
784	32968	9029
785	33009	8987
786	33050	8945
787	33090	8902
788	33129	8859
789	33169	8817
790	33209	8774
791	33247	8731
792	33289	8689
793	33328	8646
794	33367	8604
795	33405	8561
796	33442	8518
797	33479	8474
798	33517	8431
799	33554	8388
800	33595	8346
801	33640	8305
802	33687	8264
803	33727	8222
804	33766	8179
805	33804	8136
806	33843	8094
807	33882	8051
808	33921	8008
809	33957	7965
810	33997	7922
811	34039	7881
812	34086	7840
813	34124	7797
814	34158	7753
815	34195	7710
816	34236	7668
817	34275	7625
818	34312	7583
819	34352	7540
820	34390	7497
821	34433	7456
822	34477	7414
823	34518	7372
824	34556	7330
825	34596	7287
826	34636	7245
827	34673	7202
828	34708	7159
829	34754	7118
830	34795	7076
831	34834	7033
832	34875	6991
833	34912	6949
834	34950	6906
835	34993	6864
836	35033	6822
837	35073	6780
838	35111	6737
839	35152	6695
840	35191	6653
841	35235	6611
842	35276	6569
843	35315	6527
844	35354	6485
845	35442	6451
846	35509	6414
847	35566	6375
848	35607	6332
849	35648	6290
850	35690	6248
851	35740	6208
852	35782	6166
853	35818	6123
854	35856	6080
855	35892	6037
856	35932	5995
857	35975	5953
858	36017	5911
859	36055	5869
860	36096	5827
861	36146	5786
862	36192	5745
863	36244	5705
864	36288	5663
865	36325	5620
866	36367	5578
867	36403	5535
